,Dataset,Prompt,$L$,$B$,Accuracy,Completeness,Fluency,Conciseness,Total score
0,Housing 1,Prompt 1,0,0,4.0,4.0,3.8,4.0,15.8
1,Housing 1,Prompt 2,0,0,4.0,3.6,3.4,4.0,15.0
2,Housing 1,Prompt 3,0,0,4.0,4.0,3.8,4.0,15.8
3,Housing 2,Prompt 1,0,0,4.0,4.0,3.0,4.0,15.0
4,Housing 2,Prompt 2,0,0,4.0,4.0,3.0,4.0,15.0
5,Housing 2,Prompt 3,0,0,4.0,4.0,3.0,4.0,15.0
6,Housing 3,Prompt 1,0,0,4.0,4.0,3.0,4.0,15.0
7,Housing 3,Prompt 2,0,0,4.0,4.0,3.0,4.0,15.0
8,Housing 3,Prompt 3,0,0,4.0,4.0,3.0,4.0,15.0
9,Mushroom,Prompt 1,0,0,4.0,4.0,1.8,4.0,13.8
10,Mushroom,Prompt 2,0,0,4.0,3.6,1.8,4.0,13.4
11,Mushroom,Prompt 3,0,0,4.0,4.0,1.4,4.0,13.4
12,PDF Malware,Prompt 1,0,0,4.0,4.0,3.4,4.0,15.4
13,PDF Malware,Prompt 2,0,0,3.2,2.8,3.4,4.0,13.4
14,PDF Malware,Prompt 3,0,0,3.2,4.0,3.4,4.0,14.6
15,Student Performance,Prompt 1,0,0,4.0,4.0,3.2,4.0,15.2
16,Student Performance,Prompt 2,0,0,4.0,4.0,3.4,4.0,15.4
17,Student Performance,Prompt 3,0,0,4.0,4.0,3.6,4.0,15.6
18,Housing 1,Prompt 1,1,0,4.0,4.0,4.0,4.0,16.0
19,Housing 1,Prompt 1,3,0,4.0,4.0,4.0,4.0,16.0
20,Housing 1,Prompt 1,5,0,4.0,4.0,4.0,4.0,16.0
21,Housing 2,Prompt 1,1,0,4.0,4.0,3.6,4.0,15.6
22,Housing 2,Prompt 1,3,0,4.0,4.0,3.2,4.0,15.2
23,Housing 2,Prompt 1,5,0,4.0,4.0,3.4,4.0,15.4
24,Housing 3,Prompt 1,1,0,4.0,4.0,3.2,4.0,15.2
25,Housing 3,Prompt 1,3,0,4.0,3.6,3.2,4.0,14.8
26,Housing 3,Prompt 1,5,0,4.0,3.6,3.2,4.0,14.8
27,Mushroom,Prompt 1,1,0,4.0,4.0,3.0,4.0,15.0
28,Mushroom,Prompt 1,3,0,4.0,4.0,3.0,4.0,15.0
29,Mushroom,Prompt 1,5,0,4.0,4.0,3.0,4.0,15.0
30,PDF Malware,Prompt 1,1,0,3.2,3.6,3.8,4.0,14.6
31,PDF Malware,Prompt 1,3,0,3.2,3.6,3.8,4.0,14.6
32,PDF Malware,Prompt 1,5,0,3.2,3.6,3.8,4.0,14.6
33,Student Performance,Prompt 1,1,0,4.0,3.2,3.4,4.0,14.6
34,Student Performance,Prompt 1,3,0,4.0,3.2,3.4,4.0,14.6
35,Student Performance,Prompt 1,5,0,4.0,2.8,3.4,4.0,14.2
36,Housing 1,Prompt 1,0,3,4.0,4.0,3.6,4.0,15.6
37,Housing 1,Prompt 1,0,5,4.0,4.0,4.0,4.0,16.0
38,Housing 1,Prompt 1,3,3,4.0,4.0,3.6,4.0,15.6
39,Housing 1,Prompt 1,3,5,4.0,4.0,4.0,4.0,16.0
40,Housing 2,Prompt 1,0,3,4.0,4.0,3.0,4.0,15.0
41,Housing 2,Prompt 1,0,5,4.0,4.0,3.0,4.0,15.0
42,Housing 2,Prompt 1,3,3,4.0,4.0,3.0,4.0,15.0
43,Housing 2,Prompt 1,3,5,4.0,4.0,3.0,4.0,15.0
44,Housing 3,Prompt 1,0,3,4.0,4.0,2.6,4.0,14.6
45,Housing 3,Prompt 1,0,5,4.0,4.0,3.2,4.0,15.2
46,Housing 3,Prompt 1,3,3,4.0,4.0,2.6,4.0,14.6
47,Housing 3,Prompt 1,3,5,4.0,4.0,3.2,4.0,15.2
48,Mushroom,Prompt 1,0,3,4.0,4.0,3.0,4.0,15.0
49,Mushroom,Prompt 1,0,5,4.0,4.0,3.0,4.0,15.0
50,Mushroom,Prompt 1,3,3,4.0,4.0,3.0,4.0,15.0
51,Mushroom,Prompt 1,3,5,4.0,4.0,3.0,4.0,15.0
52,PDF Malware,Prompt 1,0,3,3.2,4.0,3.4,4.0,14.6
53,PDF Malware,Prompt 1,0,5,3.2,4.0,3.4,4.0,14.6
54,PDF Malware,Prompt 1,3,3,3.2,4.0,3.4,4.0,14.6
55,PDF Malware,Prompt 1,3,5,3.2,4.0,3.4,4.0,14.6
56,Student Performance,Prompt 1,0,3,4.0,4.0,3.4,4.0,15.4
57,Student Performance,Prompt 1,0,5,4.0,4.0,3.2,4.0,15.2
58,Student Performance,Prompt 1,3,3,4.0,4.0,3.4,4.0,15.4
59,Student Performance,Prompt 1,3,5,4.0,4.0,3.2,4.0,15.2
