,dataset,prompt,total score,accuracy,completeness,fluency,conciseness
0,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.28,3.2,4.0,2.08,4.0
1,housing_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",12.68,3.04,3.52,2.12,4.0
2,housing_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.36,3.2,4.0,2.16,4.0
3,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",15.166666666666666,4.0,4.0,3.1666666666666665,4.0
4,housing_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",14.666666666666666,3.6666666666666665,4.0,3.0,4.0
5,housing_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.0,4.0,4.0,3.0,4.0
6,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.0,4.0,4.0,2.0,4.0
7,housing_3.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.916666666666666,3.6666666666666665,4.0,2.25,4.0
8,housing_3.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",14.25,4.0,4.0,2.25,4.0
9,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.3,4.0,4.0,1.3,4.0
10,mushroom_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.75,4.0,4.0,1.75,4.0
11,mushroom_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",12.85,4.0,4.0,0.85,4.0
12,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.85,4.0,4.0,1.85,4.0
13,mushroom_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.65,4.0,4.0,1.65,4.0
14,mushroom_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.3,4.0,4.0,1.3,4.0
15,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.65,4.0,4.0,2.65,4.0
16,pdf_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.85,4.0,3.5,2.35,4.0
17,pdf_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.85,3.6,4.0,2.25,4.0
18,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",13.65,4.0,4.0,1.65,4.0
19,pdf_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",13.0,4.0,3.5,1.5,4.0
20,pdf_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",13.05,3.6,4.0,1.45,4.0
21,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.75,4.0,4.0,2.75,4.0
22,student_1.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",14.5,3.6,4.0,2.9,4.0
23,student_1.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",14.5,4.0,4.0,2.5,4.0
24,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative.",14.95,4.0,4.0,2.95,4.0
25,student_2.json,"You are helping users who do not have experience working with ML understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Make your answers sound as natural as possible.",14.8,3.8,4.0,3.0,4.0
26,student_2.json,"You are helping users understand an ML model's prediction. Given an explanation and information about the model, convert the explanation into a human-readable narrative. Be sure to explicitly mention all values from the explanation in your response.",15.0,4.0,4.0,3.0,4.0
